Date,Closing_price
2012/10/22,12.74
2012/10/25,13.13
2012/10/29,12.91
2012/10/31,13.05
2012/11/02,13.0
2012/11/05,13.03
2012/11/08,12.89
2012/11/09,12.91
2012/11/13,12.7
2012/11/14,12.71
2012/11/16,12.55
2012/11/20,12.94
2012/11/22,12.84
2012/11/23,12.86
2012/11/28,12.32
2012/11/30,12.5
2012/12/05,12.17
2012/12/07,12.37
2012/12/10,12.21
2012/12/11,12.38
2012/12/13,12.16
2012/12/21,12.52
2012/12/28,12.27
2013/01/07,12.94
2013/01/08,12.81
2013/01/09,12.83
2013/01/14,12.41
2013/01/28,13.56
2013/01/30,13.13
2013/02/04,13.47
2013/02/07,13.24
2013/02/08,13.56
2013/02/11,13.44
2013/02/15,14.56
2013/02/18,14.53
2013/02/19,14.81
2013/02/20,14.8
